provider_id,name,specialty,npi,address,city,state,zip,lat,lon,phone,network_status,accepting_new_patients,hospital_affiliation
PRV0001,"Dr. Fowler, Angel",Geriatrics,4332181960,33890 Jennifer Squares,Robinsonshire,KY,1352,27.560615,-83.439374,001-626-254-2351x16155,In-Network,true,Blair Medical Center
PRV0015,"Dr. Castaneda, Stephanie",Geriatrics,6889373467,5627 Tina Place,South Brittanytown,CO,84747,32.458503,-82.047694,(827)620-4653x75564,In-Network,true,Conley Medical Center
PRV0024,"Dr. Romero, Natasha",Geriatrics,1465840449,78755 Gibson Islands Apt. 396,Port Kimberly,AZ,42205,32.824036,-106.737993,001-376-962-7028x9517,In-Network,true,Smith Medical Center
PRV0039,"Dr. Rhodes, John",Geriatrics,7947383473,977 Strickland Parkway Suite 239,Port John,SD,63492,34.914177,-99.973912,(881)381-4124x782,In-Network,true,Potts Medical Center
PRV0003,"Dr. Johnson, Leslie",Internal Medicine,4139537672,38849 Hurst Locks Suite 328,Daviston,VI,14872,25.685336,-110.630825,(626)291-6697,In-Network,true,Frazier Medical Center
PRV0050,"Dr. Smith, Mark",Internal Medicine,1694097499,097 Alexandria Stravenue,Hernandezbury,AZ,75548,47.097915,-117.834204,001-913-207-5626x368,In-Network,true,Thornton Medical Center
PRV0004,"Dr. Wilson, Nicole",Nephrology,4514627048,148 Eric Track,New Stephanie,NC,575,29.573266,-88.206009,+1-357-901-5430x391,In-Network,true,Cabrera Medical Center
PRV0014,"Dr. Wells, Jonathon",Nephrology,3487347143,5812 Jesse Square Apt. 316,Riveramouth,MT,8662,41.769916,-113.50307,766.690.9670,In-Network,true,Molina Medical Center
PRV0026,"Dr. Miller, Monica",Nephrology,9379237474,4821 Landry Radial,Daniellechester,UT,33281,45.99044,-76.733034,643.267.1369x594,In-Network,true,Spence Medical Center
PRV0043,"Dr. Acosta, Christian",Nephrology,9284511544,627 West Stream Suite 964,North Emilyfurt,MN,67752,27.251901,-88.088466,001-220-429-7021x3556,In-Network,true,Shelton Medical Center
PRV0013,"Dr. Williams, Tracey",OB/GYN,9176936763,016 Gregory Square,Williamsbury,PW,16407,46.543056,-88.30216,927.488.9579x868,In-Network,true,Manning Medical Center
PRV0019,"Dr. Lee, David",OB/GYN,8233749894,43524 Jean Crossroad,Brandonton,OH,38791,38.445478,-75.31321,001-227-610-9477x752,In-Network,true,Everett Medical Center
PRV0025,"Dr. Thomas, Monica",OB/GYN,2174596158,7809 Jimmy Spur Suite 316,Port Cynthiaville,NV,22306,45.144618,-108.303769,001-840-405-0455x623,In-Network,true,Jackson Medical Center
PRV0030,"Dr. Buchanan, Jamie",OB/GYN,8393352904,84210 Alexis Turnpike,New Mario,HI,35283,36.177781,-118.400949,3269811775,In-Network,true,Gordon Medical Center
PRV0049,"Dr. Duran, Joshua",OB/GYN,9912165585,98680 Benjamin Station,Lindahaven,NH,20022,32.212911,-119.392598,+1-982-659-5269x495,In-Network,true,Wells Medical Center
PRV0022,"Dr. Munoz, Anthony",Orthopedics,3990490278,2967 Theodore Lodge Suite 512,Robertfort,LA,87347,33.777244,-70.201688,(980)871-5451x6808,In-Network,true,Brown Medical Center
PRV0005,"Dr. Spence, Amanda",Psychiatry,2278248963,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,In-Network,true,Jones Medical Center
PRV0035,"Dr. Harmon, Ryan",Pulmonology,7159696641,52975 Samuel Coves Apt. 696,South Monicamouth,IN,44156,30.065,-118.30836,001-621-581-8835x52312,In-Network,true,Thompson Medical Center
